8.88,100,79.21,74.97,491.28,90.38,93.12
96.58,99.55,93.01,96.75,102.72,106.92,114.58
24.17,100,64.07,99.96,109.1,107.49,111.9
30.29,100,62.53,79.27,640.23,272.41,109.77
66.42,100,85.04,100,98.81,83.63,98.96
4.22,100,69.84,50.48,100,100,100
52.17,100,86.48,98,124.35,123.97,138.82
11.83,100,94.8,100,152.39,90.61,95.96
1.21,100,79.26,100,73.06,72.7,102.05
84.78,100,64.34,37.31,151.3,59.66,83.07
26.96,100,100,96.8,93.26,87.95,84.64
10.91,100,90.33,91.54,100.11,20.61,100.11
96.58,99.55,78.45,38.57,93.24,98.28,353.01
99.05,0,100,0,100,100,100
99.28,0,50.25,34.99,171.67,171.67,85.83
99.17,0,75.89,100,101.42,91.14,98.61
14.98,100,76.72,100,97.26,97.26,100.22
39.71,100,50.72,74.31,303.67,59.09,102.81
63.38,100,48.43,100,79.17,8.68,93.29
9.29,100,60.84,100,101.15,67.74,113.24
13.61,100,79.43,100,89.59,88,111.02
80,0,86,92.99,100.73,94.83,86.22
70.01,100,83.69,100,321.46,20.2,110.14
15.71,100,99.47,48.2,157.69,99.24,93.45
75.69,100,100,58.19,81.4,61.69,103.8
10.4,0,94.51,100,100,100,100
8.05,0,40.65,0,100,100,100
12.24,100,65.25,64.85,75.32,75.32,32.72
54.37,0,99.43,0,157.89,100,100
35.82,13.33,65.57,100,99.6,98.41,100
70.21,0,38.11,100,102.17,102.54,101.45
44.08,95.26,73.5,65.12,3.96,4.34,24.66
17.26,100,84.02,90.01,146.86,146.86,146.86
100,0,59.07,100,92.98,90.91,106.07
3.49,0,69.27,0,100,100,100
27.18,90.02,99.36,96.97,101.26,18.94,72.09
39.73,56.25,74.64,0,100,50.41,78.57
21.48,100,99.5,95.39,144.3,229.25,20.34
2.47,100,92.61,77.08,100.65,13.33,24
47.02,100,42.54,0,47.95,47.95,68.97
22.58,0,42.83,100,56.33,56.43,15.36
100,0,53.47,0,92.84,87.7,100.79
32.95,100,99.18,100,24.18,24.29,46.68
100,0,33.62,0,429.82,399.09,118.35
100,0,53.69,100,105.47,103.07,105.16
6.86,62.49,23.23,62.4,105.5,100.18,99.65
70.61,100,97.46,97.87,160.5,161.31,105.82
62,30.32,60.67,100,100,100,100
28.35,76.62,60.76,100,106.53,100.76,101.67
61.08,13,89.09,95.46,98.39,98.14,99.25
36.79,0,59.4,100,100.98,100.84,103.41
82.91,0,100,96.63,116.41,100.33,109.37
22.05,84.26,55.58,100,108.67,106.96,107.84
100,86.65,51.25,100,102.78,102.57,107.33
66.36,100,85.01,100,129.35,132.86,107.41
56.26,70.77,14.49,100,119.4,106.94,114.35
74.97,98.29,97.37,100,146.09,98.39,110.5
24.61,69.21,86.78,100,170.82,101.55,103.09
66.58,60.35,60.15,100,102.42,102.42,108
77.06,5.6,92.23,100,133.65,133.65,133.65
3.21,100,69.47,100,103.63,103.18,73.8
61.33,94.01,23.18,100,120.24,120.11,205.9
14.78,100,89.59,100,115.39,106.5,113.21
94.98,98.26,38.88,100,245.83,30,30
79.75,0,89.41,100,100,100,112.5
42.43,91.7,86.18,100,104.07,123.33,108.06
85.31,0,95.57,82.44,100,100,100
94.49,0,57.71,0,100,100,100
80.09,45,76.79,99.39,100,100,100
82.29,36.81,66.55,100,100,100,100
23.6,100,78.7,99.13,200.25,33.58,112.76
79.97,25.05,57.25,100,100,100,100
72.23,100,100,0,113.9,110.37,113.9
56.56,100,21.84,100,107.22,103.28,113.43
57.51,97.69,51.49,100,110.41,101.3,113.06
21.32,100,97.99,98.32,108.03,108.03,108.03
74.55,100,70.35,100,100.72,100.72,109.09
100,0,71.33,87.39,101.43,114.29,102.24
7.46,100,72.91,100,107.72,104.26,111.22
74.07,92.63,52.74,100,103.71,101.11,114.12
23.87,100,37.73,100,100.55,100.57,112.96
29.59,88.84,72.52,100,104.03,100.57,111.62
45.27,99.37,88.26,100,102.28,101.33,103.77
49.66,91.79,71.58,100,103.62,102.09,114.12
94.44,66.84,46.28,67.11,101.25,101.25,101.25
51.62,0,49.98,100,106.44,101.55,103.17
54.4,100,25.19,100,101.97,99.98,122.81
46.97,100,46.23,100,101.11,100.38,114.17
48.38,95.28,64.02,100,103.19,102.9,103.59
100,0,62.81,100,106.9,101.48,115.87
74.87,0.54,100,100,112.9,112.9,112.9
20.72,84.99,89.62,66.58,170.43,100.18,124.3
48.04,0,56.34,41.04,8.49,2.75,18.75
78.21,100,49.95,100,104.34,104.41,122.58
28.8,100,78.87,100,159.46,112.17,109.7
42.58,100,94,100,185.63,102.3,106.23
54.51,100,95.06,100,185.33,101.42,101.01
30.82,100,73.89,90.51,176.54,176.54,176.75
34.57,100,77.79,73.71,92.15,92.15,92.15
4.69,100,85.02,100,111.24,110.85,111.24
59.26,100,98.25,83.18,95.62,95.67,95.65
42.87,100,85.53,97.52,58.55,58.66,58.43
31.21,94.99,70.7,28.84,117.37,117.37,117.31
92.09,100,80.36,0,118.06,118.06,118.06
65.94,100,69.22,100,100,100,100
19.54,100,82.42,100,85.04,85.04,85.04
54.62,100,72.63,96.71,72.41,72.28,72.41
100,71.25,84.64,100,117.82,117.43,117.82
77.73,100,82.46,100,100,100,100
